request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,pay IDR 15656000 today while keeping at least IDR 24768300 available.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,pay ZAR 6670 today while keeping at least ZAR 20500 available.
request_28,264.85,affordable_later,wait,2024-07-20:1302.40,2024-07-20,none,"Wait until 2024-07-20, then pay EUR 1302.40 in full so the minimum balance remains protected."
request_29,24363.85,not_affordable,not_recommended,none,,none,Do not proceed by 2025-11-23; no eligible plan keeps the ZAR 28300 minimum protected through the 90-day forecast.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 installments starting 2026-04-06; the plan keeps the USD 900 minimum protected.
request_31,3884001.12,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 2024-11-15, then pay IDR 18164000 in full so the minimum balance remains protected."
request_32,14921.73,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 2025-04-15, then pay ZAR 40018 in full so the minimum balance remains protected."
request_33,32140.4,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 2026-03-15, then pay INR 118000 in full so the minimum balance remains protected."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,pay INR 129400 today while keeping at least INR 138500 available.
request_35,43183.76,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay INR 212000 in full so the minimum balance remains protected."
request_36,921.23,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Wait until 2026-08-15, then pay USD 3954 in full so the minimum balance remains protected."
request_37,2138852.83,not_affordable,not_recommended,none,,none,Do not proceed by 2024-05-15; no eligible plan keeps the IDR 17056200 minimum protected through the 90-day forecast.
request_38,225.42,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,"Wait until 2025-09-15, then pay EUR 971.30 in full so the minimum balance remains protected."
request_39,71777.5,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Wait until 2026-05-15, then pay INR 208600 in full so the minimum balance remains protected."
request_40,493.46,affordable_later,wait,2024-07-15:1290.30,2024-07-15,none,"Wait until 2024-07-15, then pay EUR 1290.30 in full so the minimum balance remains protected."
request_41,11588481.79,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Wait until 2025-12-15, then pay IDR 38760000 in full so the minimum balance remains protected."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,pay INR 52100 today while keeping at least INR 113100 available.
